adjustable,flicker_free,mount_compatible,price,product_name,refresh_rate,resolution,response_time,review_count,review_rating,screen_curvature,video_inputs
"Height, Pivot, Swivel, Tilt Adjustable",,VESA Mount Compatible,155.99,"Dell P Series P2214H 22"" (Actual size 21.5"") Full HD 1920 x 1080 60Hz 8ms VGA DisplayPort DVI-D LED Backlit LCD Monitor",,,"8ms Response Time",7,5,,
,,,99.99,"ViewSonic X Series VX1940w Black&Silver 19"" 2ms(GTG)  Super High Resolution 1680x1050 DVI Widescreen LCD Monitor 300 cd/m2 1000:1 static (typ), 3000:1 dynamic (typ)",,,,,,,
,,,399.99,"ASUS Designo MX279H Silver & Black 27"" Frameless Widescreen Monitor FHD (1920x1080) AH-IPS 5ms (GTG) Built-in Audio by Bang & Olufsen ICEpower® 2 x HDMI D-Sub 3.5mm Earphone Jack  250 cd/m2 ASCR 80,000,000:1",,,,,,,
,,,600.99,"ASUS MX27AQ Space Gray + Black 27"" WQHD 5ms HDMI Widescreen LED Backlight LCD Monitor IPS 300 cd/m2 100,000,000:1, Built-in Speakers",,,,,,,
,,,857.99,"ASUS Designo Curved MX32VQ 31.5” WQHD 75Hz DP HDMI Eye Care Monitor with Adaptive-Sync 300 cd/m2 ASCR 100,000,000:1 (3,000:1)",,,,,,,
,,,206.99,"ASUS VK228H-CSM Black 21.5"" 5ms HDMI Widescreen LED Monitor 250 cd/m2 ASCR 80,000,000:1 Built-in Speakers Built in Webcam",,,,,,,
,,,79.99,"Acer 21.5"" Widescreen LCD Monitor Display Full HD 1920 x 1080 4 ms IPS|R221Q bid",,,,1,4,,
"Adjustable tilt settings ",,,89.99,"HP Compaq LE1711 17"" LCD Monitor - 1280x1024, 1000:1 Native, 5ms, 60Hz, VGA",,"Resolution: 1280 x 1024 ",,19,5,,
,,,59.99,"Dell Ultrasharp 1907FP 19"" LCD Flat Panel Computer Monitor Display",,,,2,4,,
,,,343.99,"ASUS VX248H 24"" FHD 1920 x 1080 Gaming Monitor, 60 Hz 1ms Response Time (GTG), Flicker Free, Built-in Speakers",,,,,,,
,,VESA Compatibility - Mountable,55.99,"Dell 1908FPT 19"" 1280 x 1024 D-Sub, DVI LCD Monitor",,,,1,5,,
,,,135,"AOC E1659FWU 16"" Portable LED Monitor, USB 3.0 Powered Ultra Slim 1366x768 Res 200 cd/m2 Brightness",,,,1,4,,
,,,64.99,"Dell E1910 19"" 1440 x 900 16:10 Widescreen Flat Panel LCD Monitor DVI VGA Grade B",,,,1,4,,
,,,88.99,"Lenovo L1951PWD 1440 x 900 Resolution 19"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1440 x 900 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,4,,
,,,99.99,"Dell P2011HT-12 20"" 1600 x 900 5 ms D-Sub, DVI-D (dual link) LCD Monitor",,,,1,4,,
,,,149.99,"HP ZR22W 22"" Widescreen LCD Monitor 250 cd/m2 1000:1, 3000:1 (Dynamic), Tilt and Swivel, Grade A",,,,18,3,,
,,,79.99,"HP LA1956X 1280 x 1024 Resolution 19"" LCD Flat Panel Computer Monitor Display",,Resolution 1280 x 1024 |Refresh 75Hz,Colors 16.7 Million |Response Time 5ms,1,4,,
,,"Pivot, Swivel & Tilt VESA Compatibility - Mountable ",55.99,"Dell 1908FPc Black/Silver 19"" 5ms LCD Monitor 300 cd/m2 800:1 A Grade",,,,1,2,,
,,,89.99,"HP L1910-BM 19"" 1280 x 1024 5 ms Monitors - LCD Flat Panel",,,,1,4,,
,,,59.99,"Dell 1708FPT 1280 x 1024 Resolution 17"" LCD Flat Panel Computer Monitor Display Scratch and Dent",,Resolution 1280 x 1024 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,4,,
,,,279.48,"REFURBISHED Dell S2340M S2340M Black 23"" 7ms (GTG) Widescreen LED Backlight LCD Monitor IPS",,,,1,4,,
,,,199.99,"Dell UltraSharp 2007FP 20"" LCD Flat Panel Computer Monitor Display",,,,1,4,,
,,,99.99,"HP LA2006X 20"" Widescreen 1600x900 16:9 LED Backlit Widescreen Monitor VGA DVI DP w/ Rectangle Stand Grade B",,,,1,4,,
,,,79.99,"Acer B193 19"" 1280x1024 2000:1 LCD Monitor with Integrated Speakers  Includes VGA and Power Cord",,Max Resolution: 1280x1024 ,,1,4,,
,,,69.99,"Acer AL1916 19"" LCD Flat Panel Monitor",,,,1,4,,
,,,69.99,Dell Professional 1909W 1909wf 19-inch Widescreen Flat Pane,,,,1,5,,
,,,239,"Dell SE2717HR VGA+HDMI 1920x1080 27"" Monitor, Black",,,"300 cd/m², 1000:1 Contrast Ratio, 6ms Response Time",2,4,,
,,,232.85,"AOC I1659FWUX 15.6"" FullHD 1920 x 1080 USB 3.0 Powered Portable IPS Monitor",,,,2,4,,
,,,99.99,"HP LV2011 Black 20"" 5ms Widescreen LED Monitor 200 cd/m2 DC 30,000,000:1 (600:1)",,,,,,,
,,,99.99,"Lenovo L1940PWD 1440 x 900 Resolution 19"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1440 x 900 |Refresh 75Hz,Colors 16.7 Million |Response Time 5ms,2,4,,
,,,219.99,"Acer ED3 27"" Widescreen LCD Gaming Monitor FullHD 2560 x 1440 5ms 144 Hz 250 Nit",,,,2,4,,
,,,169.99,"SAMSUNG SD300 Series S22D300NY 21.5"" 1920 x 1080 5ms (GTG) D-Sub LCD Monitor TN Panel",,,,3,4,,
"Height, Pivot, Swivel, Tilt Adjustable",,,79.99,"HP Compaq LA2205WG 22"" WSXGA+ 1680x1050 60Hz DVI-D VGA DisplayPort USB Hub Anti-Glare Widescreen LCD Monitor",,1680 x 1050 WSXGA+ Resolution @ 60Hz,,33,3,,"VGA, DVI-D, DisplayPort Video Inputs"
,,"Tilt : +20 Degrees ~ -5 Degrees VESA Compatibility - Mountable ",207.82,"ASUS VS239H-P 23"" 1920 x 1080 5ms (GTG) D-Sub, DVI, HDMI LCD Monitor",,,,3,4,,
,,,119.99,"PLANAR PL2410W 997-6502-00 Black 24"" 5ms  Widescreen LCD Monitor 300 cd/m2 1000:1",,,,,,,
,,,249.95,"AOC U2879VF-B 28"" 4K UHD LED-Backlit LCD Gaming Monitor, AMD FreeSync, HDMI, DVI, VGA, DisplayPort",,,1ms Response Time,3,4,,
,,"Tilt VESA Compatibility - Mountable ",99.99,"SAMSUNG 740N-B2 17"" SXGA 1280 x 1024 8 ms D-Sub LCD Monitor, Grade B ""off Lease"" - No Back Cover",,,,4,4,,
,,,168.04,"Dell P2011H 20"" 1600 x 900 5 ms D-Sub, DVI-D (dual link) LCD Monitor",,,,5,4,,
,,,89.99,"HP LA1951G 1280 x 1024 Resolution 19"" LCD Monitor",,"Resolution 1280 x 1024","Response Time 5ms ",4,4,,
,,,405.99,"Acer 34"" Monitor UW-QHD 4ms GTG 100 Hz 300 nit LED with Free-Sync",,,,4,4,,
,,,89.99,"HP LA1951G (EM890A8#ABA) 19"" SXGA 1280 x 1024 5 ms D-Sub, DVI LCD Monitor Grade A",,,,6,4,,
,,,79.99,"HP 1740 17"" 8ms  LCD Flat Panel Monitor 300 cd/m2 500:1, Off Lease 18 Months Warranty",,,,6,4,,
,,,64.99,"HP E221i 21.5"" 1920x1080 16:9 Widescreen Full HD IPS LED LCD Monitor DP DVI VGA USB Grade A",,,,6,4,,
,,,119.99,"HP LE2201w 22"" Widescreen LCD Monitor",,,,7,4,,
,,"Tilt : +20 Degrees ~ -5 Degrees VESA Compatibility - Mountable ",119.95,"ASUS VS Series VS228H-P 21.5"" 1920 x 1080 5 ms HDMI , D-Sub, DVI-D LCD Monitor",,,,8,4,,
,,,154.99,"ASUS VS Series VS197D-P Black 18.5"" 5ms  LED Backlight Widescreen LCD Monitor 250 cd/m2 ASCR 50000000:1",,,,,,,
,,,99.99,"SAMSUNG 740N-B1 Black 17"" 8ms   LCD Monitor 300 cd/m2 600:1, A Grade – No Back Cosmetic Cover Plate, Off Lease",,,,10,4,,
,,,79.99,"Acer AL1916 Cb 19"" SXGA 1280 x 1024 5 ms D-Sub LCD Monitor",,,,,,,
,,"Height, Pivot, Swivel, Tilt VESA Compatibility - Mountable",89.99,"HP LP1965 19"" 1280 x 1024 6ms(GTG) 75 Hz DVI LCD Monitor",,,,13,4,,
,,,133.99,"ASUS VS197T-P 19"" (Actaul size 18.5"") 1366 x 768 5 ms D-Sub, DVI Built-in Speakers LCD Monitor",,,,,,,
,,,79.99,"Dell 2009WT 1680 x 1050 Resolution 20"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1680 x 1050 | Refresh 60 Hz,,1,5,,
,,,199.89,"HP 27xw 27"" 1920 x 1080 7ms (GTG) 60 Hz D-Sub, HDMI LCD Monitor IPS",,,,18,4,,
,,,89.99,"SAMSUNG 740N-BK Black 17"" 8ms Off Lease LCD Monitor 300 cd/m2 600:1",,,,17,4,,
,,,49.99,"Dell Ultrasharp 1707FP 17"" LCD Flat Panel Computer Monitor Display",,,,1,5,,
,,,129.99,"Dell 2007WFPB 1680 x 1050 Resolution 20"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1680 x 1050 |Refresh 60 Hz,Colors 16.7 Million |Response Time 16ms,1,5,,
,,,119.99,"Dell 2208WFPT 1680 x 1050 Resolution 22"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1680 x 1050 |Refresh 76 Hz,Colors 16.7 Million |Response Time 5ms,1,5,,
,,,149.99,"ASUS VP247QG Gaming Monitor 23.6"" Full HD 1ms 75Hz Adaptive-Sync / FreeSync",,,,1,5,,
,,,79.99,"Dell 1704FPVT 1280 x 1024 Resolution 17"" LCD Flat Panel Computer Monitor Display",,Resolution 1280 x 1024 |Refresh 60 Hz,Colors 16.7 Million |Response Time 25ms,1,5,,
,,,59.99,"COMPAQ LE1711-AM 17"" 1280 x 1024 5 ms 60 Hz D-Sub LCD Monitor",,,,1,5,,
,,,39.99,"Dell UltraSharp 1708fp Silver/Black Flat Panel 17"" Screen  LCD DVI/VGA Monitor 1280 x 1024 Native Resolution 300cd/m2 Brightness 800:1 Contrast Ratio USB Hub and Adjustable Stand",,Native Resolution: 1280 x 1024 at 75 Hz,,1,1,,
,,,139.99,"HP E231 1920 x 1080 Resolution 23"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1920 x 1080 | Refresh 60 Hz,,1,5,,
,,,94.99,"Dell P1917S 19"" IPS LED Backlit LCD Monitor 1280x1024 HDMI DP VGA USB 3.0 Grade B",,,,1,5,,
,,,79.99,"19"" HP L1955 DVI 720p Rotating LCD Monitor",,,,1,5,,
,,,89.99,"HP LA2006X 1600 x 900 Resolution 20"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1600 x 900 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,5,,
,,,125.99,"HP P221 1920 x 1080 Resolution 21"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1920 x 1080 |Refresh 75Hz,Colors 16.7 Million |Response Time 5ms,1,5,,
,,,84.99,"Dell 2009W 20"" Widescreen 1680x1050 16:10 Flat Panel LCD Monitor VGA DVI USB Adj Stand Grade B",,,,1,3,,
,,,759,"Apple A1407 2560 x 1440 Resolution 27"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 2560 x 1440 |Refresh 60 Hz,Colors 16.7 Million |Response Time 12ms,1,5,,
,,,,"LG 38WK95C-W Silver / Black 37.5"" 5ms (GTG) HDMI Widescreen 21:9 UltraWide WQHD+ IPS Curved LED Monitor 300 cd/m2 1,000:1",,,,1,5,,
,,"Wall Mountable: 75mm x 75mm",343.99,"SAMSUNG S27E310H Black 27"" 1ms HDMI Widescreen LCD/LED Monitor, 300 cd/m2 DCR Mega Infinity (1000:1), D-Sub HDMI",,,,,,,
,,,89.99,"HP LA2006X 20"" 5ms Widescreen LED Monitor- Pivot, Swivel & Height Adjustable",,,,1,5,,
"Tilt, Swivel, Height Adjustable",Flicker-Free Technology,VESA Mount Compatible,,"Asus ROG Swift PG348Q 34"" 3440x1440 QHD 5ms Overclockable 100Hz NVIDIA G-SYNC Built-In Speakers Asus Eye Care Backlit LED Curved LCD Ultra-Wide IPS Gaming Monitor",Overclockable up to 100Hz Refresh Rate: For smoother gaming and faster response time,3440 x 1440 QHD Resolution,5ms Response Time,2,3,,
,,,234.82,"ViewSonic VA2759-SMH 27"" IPS 1080p Frameless LED Monitor",,,,1,5,,
,,,219,"Acer K2 27"" Monitor Full HD 1920 x 1080 4ms GTG 75 Hz 300 Nit AMD Freesync VA",,,,1,5,,
,,,229.99,"HP 3LN53AA Pavilion 32"" QHD 2560x1440 7ms LCD WVA Monitor",,,,,,,
,,,79.99,"HP LE1711 17"" LCD Flat Panel Computer Monitor Display",,,,1,5,,
,,Pivot: Y VESA Compatibility - Mountable,820.87,"Acer Certified Predator XB271HU bmiprz Black 27"" HDMI Widescreen LED Backlight LCD Monitor 350 cd/m2 ACM 100,000,000:1 (1000:1)",,,,2,5,,
,,,95.99,"Dell P2014H Black 19.5"" 8ms Widescreen LED Backlight LCD Monitor IPS 250 cd/m2 1,000:1",,,,1,3,,
,,,85.99,"Lenovo L197WA 1440 x 900 Resolution 19"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1440 x 900 | Refresh 60 Hz,,1,5,,
,,,69.99,"Dell E178FPB 1280 x 1024 Resolution 17"" LCD Flat Panel Computer Monitor Display Scratch and Dent",,Resolution 1280 x 1024 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,5,,
,,,172.82,"Acer 21.5"" LED Widescreen Monitor VGA DVI-D- G226HQL BBD",,,,1,5,,
,,,55.99,"Dell E177FP(15VFDELCD0002) 17"" 8 ms LCD Monitor",,,,1,1,,
,,VESA Mount Compatible,189.99,Asus VE198T LED 1440 x 900 5ms VGA DVI-D Splendid Video Intelligence Technology Built-in Speakers LCD LED Monitor,,1440 x 900 Resolution,,2,5,,
,,,69.99,"Dell Professional P1911 - LCD monitor - 19"" - 4 USB, VGA, DVI, PWR",,,,1,5,,
,,,89.99,"HP L1910 Silver / Black 19"" LCD Monitors",,,,1,5,,
,,,79.99,"HP L1950 19"" 1280 x 1024 5 ms 60 Hz D-Sub, DVI-D LCD Monitor",,,,2,5,,
,,,79.99,"LG W1934S-BN 19"" WXGA+ 1440 x 900 5 ms D-Sub LCD Monitor",,,,,,,
,,,119.99,"Dell P2213F 5ms Height, Swivel, Tilt Adjustable LCD Monitor (B-GRADE)",,,,2,3,,
,,,169.99,"LG 25UM58-P Black 25"" 5ms (GTG) Widescreen LED Backlight LCD Monitor IPS",,,,2,5,,
,,,99.99,"Dell P2212HF 1920 x 1080 Resolution 22"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1920 x 1080 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,2,,
,,,89.99,"HP LP1965 Black 19"" 6 ms LCD Monitor 1000:1 A Grade",,,,1,2,,
,,,89.99,"HP L1950G 19"" SXGA 1280 x 1024 5 ms D-Sub, DVI-D LCD Monitor",,,,1,2,,
,,,79.99,"HP LA1956X 1280 x 1024 Resolution 19"" LCD Flat Panel Computer Monitor Display",,Resolution 1280 x 1024 | Refresh 75Hz,,1,2,,
,,,388.62,"AOC 31.5"" AG322QCX 2560x1440 QHD 4ms 144Hz Curved Gaming Monitor",,,,1,2,,
,,,169.99,"Dell P2414H 24"" Widescreen 1920x1080 Full HD IPS LED LCD Monitor Grade B",,,,2,2,,
,,,689,"Apple MC914LL/A Thunderbolt Display Display Port 2560x1440 27"", Silver",,,"375 cd/m², 1000:1 Contrast Ratio, 12ms Response Time",2,5,,
,,,446.99,Asus MB169C+ Black 15.6’’ 16:9 Widescreen LED Backlight Full HD 1920 x 1080 Portable USB-powered IPS Portable Monitor 220 cd/m2 700:1,,,,,,,
,,,99.99,"HP L2245wg 22"" WSXGA+ 1680 x 1050 5 ms D-Sub, DVI-D LCD Monitor",,,,2,2,,
,,"Height Adjust (mm): 135 VESA Compatibility - Mountable ",156,"Viewsonic VG2239Smh 22"" LED LCD Monitor - 16:9 - 6.50 ms - 1920 x 1080 - 16.7 Million Colors - 250 Nit - 20,000,000:1 - Full HD - Speakers - HDMI - VGA - MonitorPort - USB - 30 W - Black - WEEE, ...",,,,1,3,,
,,,431.87,"MSI Optix G27C2 27"" Curved FHD 1080p 1ms (MPRT) 144Hz 110% sRGB Widescreen LED Backlight LCD/LED AMD FreeSync Gaming Monitor 300 cd/m2 HDMI DisplayPort DVI, Tilt",,,,1,3,,
,,,119.99,"ACER V233H 1920 x 1080 Resolution 23"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1920 x 1080 |Refresh 75Hz,Colors 16.7 Million |Response Time 5ms,1,1,,
,,"-5 to 18 degree VESA Compatibility - Mountable ",115.99,"ViewSonic VA2246M-LED-S 22"" Full HD 1920 x 1080 5 ms D-Sub, DVI , 3.2 mm mini jack Built-in Speakers LCD Monitor",,,,1,3,,
"Height, Tilt, Pivot, Swivel Adjustable",,VESA Mount Compatible,139.99,"Dell Professional P2311HB 23"" Full HD 1920 x 1080 5ms VGA DVI-D USB 2.0 Hub Backlit LED LCD Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,5ms Response Time,1,3,,"VGA, DVI-D Video Inputs"
,,,79.99,"HP L1706 17"" SXGA 1280 x 1024 5 ms D-Sub LCD Monitor",,,,1,3,,
,,,179.99,"Dell UltraSharp U2713HM Black & Silver 27"" WQHD 8ms IPS LED Monitor (Grade B)",,,,1,1,,
,,,89.99,"HP LE1711 17"" LCD Flat Panel Computer Monitor Display",,,,1,3,,
"Swivel, Pivot, Tilt, Height Adjustable",,VESA Mount Compatible,129.99,"ViewSonic VG2239m-LED 22"" (Actual size 21.5"") Full HD 1920 x 1080 5ms (GTG) VGA DVI DisplayPort Built-in Speakers Anti-Glare LED Backlit LCD Monitor",,1920 x 1080 Full HD Resolution,5ms (GTG) Response Time,3,3,,"VGA, DVI, DisplayPort Video Inputs"
,,VESA Compatibility - Mountable,105.99,"SAMSUNG SA200 22"" 1920 x 1080 60 Hz DVI LCD Monitor Grade A",,,,4,3,,
,,,257.99,"ASUS VS Series VS247H-P 23.6"" 1920 x 1080 2ms (Gray to Gray) D-Sub, DVI, HDMI LCD Monitor",,,,5,3,,
,,,80,"Dell 1908FP 1908FP 19"" 1280 x 1024 5 ms 60 Hz D-Sub, DVI-D LCD Monitor",,,,7,3,,
,,,75.99,"Dell P190S 19"" 1280 x 1024 5 ms 60 Hz Flat Panel Display LCD Monitor - Refurbished",,"1280 x 1024 Maximum Resolution,Full Screen Support for Lower Resolution",,11,3,,
,,,359,"Dell SE2417HG 24"" LED LCD Monitor - 16:9 - 2 ms - 1920 x 1080 - 16.7 Million Colors - 300 Nit - 8,000,000:1 - Full HD - HDMI - VGA - 17 W - Piano Black",,,,1,4,,
,,"Tilt VESA Compatibility - Mountable ",69.99,"NEC Display Solutions AS191 19"" SXGA 1280 x 1024 5 ms D-Sub, DVI-D LCD Monitor",,,,1,4,,
,,,99.99,"Acer CB2 - 23.8"" Widescreen Full HD 1920 x 1080 1ms 75Hz 250Nit AMD FreeSync IPS",Refresh Rate: 75Hz with HDMI port,,Response Time: 1ms VRB,2,5,,
,,"Tilt VESA Compatibility - Mountable ",69.99,"Dell E1913C 19"" 5ms Widescreen LED Backlight LCD Monitor.A Grade",,,,1,5,,
,,,99.99,"ViewSonic VA1948m-LED Black 19"" 5ms LED BackLight LCD Monitor w/Speakers 250 cd/m2 DC 10,000,000:1 (1,000:1)",,Resolution 1440 x 900 | Latency 5ms ,,1,1,,
,,,119.99,"Dell E2211HB 1920 x 1080 Resolution 22"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1920 x 1080 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,1,,
,,,119.99,"Dell E2211HB 1920 x 1080 Resolution 22"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1920 x 1080 | Refresh 60 Hz,,1,1,,
,,,69.99,"HP L1908W 1440 x 900 Resolution 19"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1440 x 900 | Refresh 75Hz,,1,1,,
,,,119.99,"Dell P2314HT 1920 x 1080 Resolution 23"" WideScreen LCD Flat Panel Computer Monitor Display with Power Cord and VGA",,Resolution 1920 x 1080 | Refresh 60 Hz,,1,1,,
,,,69.99,"Dell 1907FPT-12 19"" 8 ms UltraSharp LCD Monitor - Refurbished",,,,1,1,,
,,,119.99,"Dell E2209WC 1680 x 1050 Resolution 22"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1680 x 1050 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,1,,
,,,129.99,"HP LP2275W 1680 x 1050 Resolution 22"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1680 x 1050 |Refresh 60 Hz,Colors 16.7 Million |Response Time 6ms,1,1,,
,,"Tilt: -5 to 20 degrees VESA Compatibility - Mountable ",117.79,"ViewSonic VA2251M-LED-S 22"" 1920 x 1080 5 ms D-Sub, DVI Built-in Speakers LED Monitor",,,,1,1,,
,,,99.99,"DELL E2009WT 1680 x 1050 Resolution 20"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1680 x 1050 |Refresh 60 Hz,Colors 16.7 Million |Response Time 5ms,1,1,,
,,,99.99,"Dell P2210T 1680 x 1050 Resolution 22"" WideScreen LCD Flat Panel Computer Monitor Display",,Resolution 1680 x 1050 | Refresh 60 Hz,,1,1,,
,,,989,"Apple 27"" Thunderbolt Display - Grade B - MC914LL/A",,,,1,4,,
,,,79.99,"HP L1706-AM 17"" 1280 x 1024 5 ms Monitors - LCD Flat Panel",,,,2,1,,
,,,79.99,"Acer 23.8"" Widescreen LCD Monitor Full HD 1920x1080 4ms IPS|R240HY bidx",,,,1,1,,
,,,251.48,"Dell P2317H Black 23"" IPS 6ms(GTG) 60HZ 1920 x 1080 Slim Border LCD/LED Monitor",,,,14,4,,
,,,49.99,"Acer K2 19.5"" Monitor Display HD 1366 x 768 5 ms",,"A 1366 x 768 Resolution on a 19.5"" screen makes for a superb viewing expereince.",,1,5,,
,,,79.99,"HP 22yh 21.5"" Full HD LCD Monitor 1920 x 1080 @ 60Hz, 5ms, VGA, HDMI, Tilt Adjustment and Anti-Glare panel",60Hz Refresh Rate,1920 x 1080 Full HD Resolution,5ms Response Time,2,5,,
Tilt Adjustable,,VESA Mount Compatible,159.99,"Acer KG251Q Dbmiipx 25"" (Actual size 24.5"") Full HD 1920 x 1080 1ms 2x HDMI, DisplayPort AMD FreeSync LED Backlit Gaming Monitor",,1920 x 1080 Full HD Resolution,1ms Response Time,5,3,,"1 x HDMI (2.0), 1 x HDMI (1.4), DisplayPort Video Inputs"
"Height, Swivel, Tilt Adjustable",,VESA Mount Compatible,156.61,"Acer B247Y bmiprx 24"" (Actual size 23.8"") Full HD 1920 x 1080 60HZ 4ms (GTG) VGA HDMI DisplayPort Built-in Speakers Backlit LED IPS Monitor",,1920 x 1080 Full HD Resolution @ 60Hz,4ms (GTG) Response Time ,1,1,,"VGA, HDMI, DisplayPort Video Inputs "
Tile Adjustable,,VESA Mount Compatible,229.99,"AOC G2590FX 24.5"" Full HD 1920x1080 144Hz 1ms VGA DisplayPort HDMI Adaptive-Sync Frameless Design Backlit LED LCD Gaming Monitor",144Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,2,5,,
,,,359,"LG W2242P-BS 22"" 1680 x 1050 5 ms D-Sub, DVI-D LCD Monitor",,,,1,5,,
"Tilt, SWivel, Height Adjustable",,VESA Mount Compatible,299.99,"Acer NITRO XV272U Pbmiiprzx 27"" WQHD 2560 x 1440 2K Resolution 1ms 144Hz DisplayPort 2xHDMI AMD Free-Sync USB 3.0 Hub Built-in Speakers Widescreen LED Backlight IPS Gaming Monitor",144Hz Refresh Rate,2560 x 1440 WQHD 2K Resolution,1ms Response Time,5,4,,"2 x HDMI, DisplayPort Video Inputs"
"Height, Pivot, Swivel, Tilt Adjustable",,VESA Mount Compatible,399.99,"Dell UltraSharp U2518D 25"" QHD 2560x1440 2K Resolution 5ms 60Hz Mini-DisplayPort HDMI DisplayPort USB 3.0 Hub Anti-Glare Backlit LED IPS Monitor",,2560 x 1440 QHD 2K Resolution @ 60Hz,5ms Response Time,14,4,,"HDMI, DisplayPort, Mini-DisplayPort Video Inputs"
,,VESA Compatibility - Mountable,298.99,"HP Healthcare Edition HC271p QHD 2560 x 1440 60Hz 12ms(GTG) VGA HDMI DisplayPort Clinical Review Monitor, Head Only",,,,2,4,,
,,,83.99,"TPEKKA 11.6"" Inch USB HDMI Monitor HD 1366x768 IPS Display Mini Portable CCTV Security Monitor with USB/ HDMI/ AV/ BNC/ VGA Input Built-in Speaker for DVR FPV Display PC Computer Screen Raspberry Pi",,,,3,5,,
"Tilt, Swivel, Pivot, Height Adjustable",,VESA Mount Compatible,369.99,"ASUS VG258QR 25"" (Actual size 24.5"") Full HD 1920 x 1080 up to 0.5ms (GTG) 165Hz DVI-D HDMI DisplayPort G-SYNC Compatible Asus Eye Care with Ultra Low-Blue Light & Flicker-Free Gaming Monitor",165Hz Refresh Rate,1920 x 1080 Full HD Resolution,"1ms (Gray to Gray), Up to 0.5ms (Gray to Gray, Min) Response Time ",3,5,,"Dual-Link DVI-D, HDMI (1.4), DisplayPort (1.2) Video Inputs "
,,,679.99,"Viotek GFI27QXA 27” 4K UHD 120hz Gaming Monitor (144hz Overclocked) 1ms HDR IPS FreeSync/G-Sync 2x HDMI 2.0 2x DP 1.4, Height, Tilt, Swivel, Pivot 3-Year Warranty, Black",Refresh Rate: 144Hz ,Resolution: 3840 x 2160p ,"Response Time: 5ms (GTG), 1ms (OD) ",4,5,,
,,"Tilt (Forward/Back): 6 / 25 degree VESA Compatibility - Mountable ",159.99,"ViewSonic VG2253 22"" 1920 x 1080 5ms D-Sub, HDMI, DisplayPort Analog Sync Separate Sync/Composite Sync/Sync on Green Digital Sync TMDS, PCI-E Built-in Speakers IPS LCD Monitor",,,,1,4,,
,,VESA Mount Compatible,119.99,"ViewSonic VA2459-SMH 24"" (23.8"" Viewable) Full HD 1920 x 1080 5 ms D-Sub, HDMI Built-in Speakers Edge-to-Edge Screen Frameless Bezel IPS LED Monitor",,1920 x 1080 Full HD Resolution,7ms Response Time,1,2,,
Tilt Adjustable,Flicker-Free Technology,VESA Mount Compatible,179.55,"SAMSUNG 390 Series C27F390FHN 27"" Full HD 1920 x 1080 4ms VGA HDMI AMD FreeSync Mega Dynamic Contrast Ratio Flicker-Free LED Backlit Curved Monitor for Business",,1920 x 1080 Full HD Resolution @ 60Hz,4ms Response Time,3,5,,"VGA, HDMI Video Inputs"
Tilt Adjustable,,,169.99,"ViewSonic VX2776-smhd 27"" Full HD 1920 x 1080 7ms (GTG W/OD) HDMI VGA DisplayPort Built-in Speakers Anti-Glare Backlit LED IPS Monitor",,1920 x 1080 Full HD Resolution,"7ms (GTG W/OD), 14ms (Typical GTG) Response Time",39,4,,"HDMI, VGA, DisplayPort Video Inputs"
,Flicker-Free Technology,VESA Mount Compatible,109.99,"ViewSonic VA2259-smh 21.5"" Full HD 1920 x 1080 7ms VGA, HDMI Built-in Speakers Edge-to-Edge Frameless Panel Tilt Flicker-Free IPS LED Backlit Monitor",,1920 x 1080 Full HD Resolution,Up to 7ms Response Time,36,4,,
Tilt Adjustable,,,129.99,"ViewSonic VX2276-SMHD Black 22"" Full HD 1920 x 1080 HDMI VGA DisplayPort Built-in Speakers SuperClear UltraSlim Frameless Anti-Glare Backlit LED IPS Monitor",,1920 x 1080 Full HD Resolution,7ms Response Time,39,4,,"VGA, HDMI, DisplayPort Video Inputs"
